hex_Res7,total_sales,med_price,med_price_sf,current_pop,pop_change,median_income
8744c134dffffff,22,449500,226.7486334,3390,0.08,124456
8744c134effffff,18,635000,235.0550559,4666,-0.03,165851
8744c1350ffffff,15,725000,265.4705236,3307,-0.26,199014
8744c1351ffffff,25,835000,252.5054999,5533,-0.24,187256
8744c1352ffffff,10,917750,200.6608592,1966,-0.2,82846
8744c1353ffffff,21,845000,250.3333333,4505,-0.12,157961
8744c1354ffffff,28,457500,205.0309334,2770,0.01,162194
8744c1355ffffff,16,775000,280.0211023,3466,0.05,197882
8744c1356ffffff,19,225000,199.4459834,7556,-1.01,80621
8744c1358ffffff,25,665000,271.0762332,5263,-0.03,197310
8744c1359ffffff,22,632500,253.3291413,5443,0.29,185076
8744c135affffff,20,1095000,290.263408,2438,-0.88,211264
8744c135bffffff,13,849000,229.5746117,2716,-0.27,201829
8744c135cffffff,41,815000,251.5923567,3975,0.08,190115
8744c135dffffff,26,637250,251.983106,5286,0.24,159097
8744c135effffff,15,880000,250,2991,-0.32,213521
8744c1360ffffff,33,369000,229.0286976,5674,0.25,92394
8744c1361ffffff,18,283500,219.3008931,6566,-0.01,63787
8744c1362ffffff,30,612500,212.532635,3974,-0.2,203506
8744c1363ffffff,24,535000,232.0313463,5366,-0.28,82187
8744c1364ffffff,10,196500,149.7695853,7310,0.15,54677
8744c1365ffffff,25,281000,176.8488746,6305,0.57,60449
8744c1366ffffff,46,440000,194.2609947,11484,0.83,89352
8744c1368ffffff,21,419900,228.0130293,4238,0.7,105676
8744c1369ffffff,26,410250,216.8577638,3574,0.06,105329
8744c136affffff,35,479000,202.3070098,4315,0.02,133973
8744c136bffffff,26,401000,190.830493,3907,0.04,120931
8744c136cffffff,4,279375,173.8215488,3082,1.22,77291
8744c136dffffff,26,271300,211.9040771,4114,0.16,67195
8744c136effffff,31,415000,178.422536,4333,0.04,140841
8744c1370ffffff,12,1595000,402.9841058,2525,-0.22,208966
8744c1371ffffff,30,750000,250.1154833,4428,-0.01,175020
8744c1372ffffff,10,997500,321.7923925,4267,-0.62,168763
8744c1373ffffff,30,777000,261.4753964,3569,0.06,131386
8744c1374ffffff,14,255700,223.0139761,3568,-0.46,128507
8744c1375ffffff,20,1134501,256.6227903,2548,-0.06,209662
8744c1376ffffff,21,1125000,280.4648884,2835,-0.82,187166
8744c1380ffffff,15,210000,177.0334928,6787,-0.5,55229
8744c1381ffffff,15,290000,193.7738247,6164,0.75,48932
8744c1382ffffff,25,325000,206.1805556,9060,0.77,55450
8744c1383ffffff,2,498000,179.4013647,3031,0.95,67967
8744c1384ffffff,16,310000,191.3019215,9003,-0.25,63433
8744c1385ffffff,16,331000,195.9588949,10188,0,59502
8744c1386ffffff,13,343000,236.7688022,6648,0.65,64623
8744c1388ffffff,18,580000,238.6587771,3038,-0.65,127026
8744c1389ffffff,21,645750,204.7244094,4594,2.85,151202
8744c138affffff,7,357000,192.4721985,3374,0.18,99289
8744c138bffffff,11,889000,218.861918,3301,0.1,134485
8744c138cffffff,18,315500,180.2669093,5108,0.72,86181
8744c138dffffff,20,530250,215.6334232,4098,1.61,93080
8744c138effffff,17,415000,195.3125,7894,0.33,77889
8744c1390ffffff,18,311000,197.9427837,5668,1.39,74908
