Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Source,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202506,1,327000,49,1130,48064,0,332,290,22840, , ,35984,3,6,5,Mentone town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,328000,73,1135,48376,0,4955,142,13820, , ,35228,3,6,5,Midfield,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,329000,45,1140,48400,0,2377,222,37120,2, ,36350,3,6,3,Midland City,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,331000,51,1152,48712,0,15945,388,33860,2, ,360540630,3,6,3,Millbrook,6,6,1125000,0,0,0,0,0,0,0,0,0
202506,1,334000,97,1165,50000,0,187746,380,33660, ,1,36633,3,6,3,Mobile,21,21,5639245,0,0,0,0,0,0,0,0,0
202506,1,335000,97,    ,99990,0,160172,380,33660, , ,36608,3,6,4,Mobile County Unincorporated Area,33,33,9768551,0,0,0,0,0,0,0,0,0
202506,1,337000,99,1170,50192,0,5623,999,99999, , ,36461,3,6,5,Monroeville,0,0,0,0,0,0,0,0,0,1,5,1145833
202506,1,338000,117,1175,50312,0,7098,142,13820, , ,35124,3,6,3,Montevallo,10,10,2756000,0,0,0,0,0,0,0,0,0
202506,1,339000,101,1180,51000,0,196268,388,33860, ,1,36104,3,6,5,Montgomery,17,17,3342517,0,0,0,0,0,0,1,5,620426
202506,1,340000,101,    ,99990,0,17819,388,33860, , ,36104,3,6,3,Montgomery County Unincorporated Area,3,3,1160000,0,0,0,0,0,0,0,0,0
202506,1,341000,115,1182,51096,0,13292,142,13820, , ,35004,3,6,3,Moody,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,344000,73,1190,51456,0,2182,142,13820,2, ,351161424,3,6,5,Morris,3,3,641301,0,0,0,0,0,0,0,0,0
202506,1,346000,79,1195,51600,0,3201,290,19460, , ,35650,3,6,5,Moulton,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,347000,65,1200,51648,0,1707,999,46220,2, ,35474,3,6,3,Moundville,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,349000,97,1215,52608,0,1504,380,33660,2, ,36560,3,6,5,Mount Vernon town,1,1,250177,0,0,0,0,0,0,0,0,0
202506,1,350000,73,1205,51696,0,20034,142,13820, , ,35213,3,6,3,Mountain Brook,1,1,3700000,0,0,0,0,0,0,0,0,0
202506,1,353000,33,1225,53016,0,14877,250,22520, ,1,35662,3,6,3,Muscle Shoals,6,6,766610,0,0,0,0,0,0,0,0,0
202506,1,360000,31,1245,53856,0,1286,222,21460, , ,36351,3,6,3,New Brockton town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,361000,89,1250,54168,0,2927,290,26620, , ,35760,3,6,5,New Hope,4,4,1149579,0,0,0,0,0,0,0,0,0
202506,1,364000,45,1255,54480,0,1451,222,37120, , ,36352,3,6,5,Newton town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,365000,67,1260,54600,0,510,222,20020, , ,36353,3,6,5,Newville town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,368000,125,1275,55200,0,26075,999,46220,2, ,35476,3,6,3,Northport,14,14,4964161,0,0,0,0,0,0,0,0,0
202506,1,370000,87,1280,55440,0,745,194,12220,2, ,36866,3,6,5,Notasulga town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,371000,121,1282,55752,0,513,142,45180, , ,35150,3,6,5,Oak Grove town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,373000,127,1290,55992,0,713,142,13820, , ,35579,3,6,5,Oakman town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,374000,115,1295,56400,0,3886,142,13820, , ,35120,3,6,3,Odenville,2,2,592033,0,0,0,0,0,0,0,0,0
202506,1,375000,15,1300,56472,0,1148,999,11500, , ,36271,3,6,3,Ohatchee town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,376000,9,1305,57000,0,6601,142,13820, , ,35121,3,6,5,Oneonta,1,1,282917,0,0,0,0,0,0,0,0,0
202506,1,378000,81,1310,57048,0,31135,194,12220, ,1,36801,3,6,5,Opelika,44,44,7361548,0,0,0,0,0,0,0,0,0
202506,1,379000,39,1315,57120,0,6313,999,99999, , ,36467,3,6,5,Opp,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,380000,3,1317,57144,0,6343,380,19300, , ,36561,3,6,3,Orange Beach,7,7,3820264,0,0,0,0,0,0,0,0,0
202506,1,382000,89,1324,57504,0,2233,290,26620,2, ,35763,3,6,3,Owens Cross Roads,0,0,0,0,0,0,0,0,0,0,0,0
